0,1,,
1,#1,b2,b9
2,2,,9
3,3,b3,#9
4,#3,b4,
5,4,,11
6,#4,b5,#11
7,5,,
8,6,b6,b13
9,#6,,13
10,7,b7,
11,#7,,
