-7,C-,a-
-6,G-,e-
-5,D-,b-
-4,A-,f
-3,E-,c
-2,B-,g
-1,F,d
0,C,a
1,G,e
2,D,b
3,A,f#
4,E,c#
5,B,g#
6,F#,d#
7,C#,a#
