0,1,,,
1,#1,b2,b9,
2,2,,9,
3,b3,,#9,
4,3,#3,b11,
5,4,,11,
6,#4,b5,#11,
7,5,,bb13,
8,b6,#5,b13,
9,6,#6,13,bb7
10,b7,,,
11,7,#7,b1,
